"sequence","date","new?","title","country","director","year","grade","theater","shorts","additional info","ignore  this","ignore  this","&nbsp;"
"197","28-sep-02","&nbsp;","there's something about mary","usa","farrelly","1998","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"198","28-sep-02","138","stop making sense","usa","demme","1984","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"199","30-sep-02","139","signs","usa","shyamalan","2002","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"200","5-oct-02","140","amistad","usa","spielberg","1997","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"201","5-oct-02","&nbsp;","history of the world part i","usa","brooks","1981","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"202","6-oct-02","141","42up","uk","apted","1998","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"203","6-oct-02","&nbsp;","blair witch project","usa","myrick/sanchez","1999","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"204","7-oct-02","&nbsp;","joy ride","usa","dahl","2001","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"205","12-oct-02","142","wind will carry us","iran","kiarostami","1999","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"206","13-oct-02","143","tuxedo","usa","donovan","2002","d-","1","&nbsp;","&nbsp;","0.7","&nbsp;","&nbsp;"
"207","14-oct-02","144","spaceman","usa","dikkers","1997","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"208","17-oct-02","145","bowling for columbine","usa","moore","2002","a","1","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"209","19-oct-02","&nbsp;","koyaanisqatsi","usa","reggio","1982","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"210","20-oct-02","146","straw dogs","uk","peckinpah","1971","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"211","20-oct-02","147","pop and me","usa","roe","1999","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;"
"212","25-oct-02","146","punch-drunk love","usa","anderson","2002","a","1","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"213","25-oct-02","147","abandon","usa","gaghan","2002","f","1","&nbsp;","&nbsp;","0","&nbsp;","&nbsp;"
"214","28-oct-02","&nbsp;","powaqqatsi","usa","reggio","1988","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"215","1-nov-02","148","don't look back","usa","pennebaker","1967","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"216","2-nov-02","149","ring","usa","verbinski","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"217","10-nov-02","&nbsp;","bowling for columbine","usa","moore","2002","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"218","10-nov-02","150","femme fatale","usa","depalma","2002","b+","1","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"219","13-nov-02","151","king of masks","china","wu","1999","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"220","16-nov-02","152","jackass","usa","tremaine","2002","b-","1","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"221","22-nov-02","153","sound and fury","usa","aronson","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"222","23-nov-02","154","naqoyqatsi","usa","reggio","2002","b","1","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"223","25-nov-02","&nbsp;","executive decision","usa","baird","1996","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"224","26-nov-02","&nbsp;","spartacus","usa","kubrick","1960","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"225","3-dec-02","155","george washington","usa","green","2000","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"226","6-dec-02","156","sanjuro","japan","kurosawa","1962","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"227","7-dec-02","157","wild strawberries","sweden","bergman","1957","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"228","8-dec-02","&nbsp;","spaceballs","usa","brooks","1987","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"229","9-dec-02","&nbsp;","black knight","usa","junger","2001","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"230","13-dec-02","158","war room","usa","hegedus/pennebaker","1993","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"231","17-dec-02","159","bamboozled","usa","lee","2000","b+","&nbsp;","&nbsp;","&nbsp;","3.3","&nbsp;","&nbsp;"
"232","20-dec-02","160","seven samurai","japan","kurosawa","1954","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"233","20-dec-02","161","magnificent seven","usa","sturges","1960","c","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;"
"234","20-dec-02","&nbsp;","mr. deeds","usa","brill","2002","c+","&nbsp;","&nbsp;","&nbsp;","2.3","&nbsp;","&nbsp;"
"235","21-dec-02","&nbsp;","austin powers in goldmember","usa","roach","2002","b-","&nbsp;","&nbsp;","&nbsp;","2.7","&nbsp;","&nbsp;"
"236","21-dec-02","&nbsp;","evil dead 2","usa","raimi","1987","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"237","21-dec-02","162","mad max","australia","miller","1979","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"238","21-dec-02","&nbsp;","election","usa","payne","1999","a","&nbsp;","&nbsp;","&nbsp;","4","&nbsp;","&nbsp;"
"239","22-dec-02","&nbsp;","man bites dog","france","belvaux","1992","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"240","22-dec-02","163","hidden fortress","japan","kurosawa","1958","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"241","24-dec-02","&nbsp;","a christmas story","usa","clark","1983","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"242","25-dec-02","&nbsp;","iron monkey","hong kong","yuen","1993","b","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;"
"243","28-dec-02","&nbsp;","se7en","usa","fincher","1995","a+","&nbsp;","&nbsp;","&nbsp;","4.3","&nbsp;","&nbsp;"
"244","28-dec-02","164","monster's ball","usa","forster","2001","d+","&nbsp;","&nbsp;","&nbsp;","1.3","&nbsp;","&nbsp;"
"245","29-dec-02","&nbsp;","fight club","usa","fincher","1999","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"246","30-dec-02","&nbsp;","office space","usa","judge","1999","a-","&nbsp;","&nbsp;","&nbsp;","3.7","&nbsp;","&nbsp;"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
