"{|scientific name}","{|common names (abridged)}","{|family}","{|habit}"
"lindernia nummulariifolia","&nbsp;","scrophulariaceae","herb"
"litsea glutinosa","english: indian laurel","lauraceae","tree"
"lobelia zeylanica","english: white root","campanulaceae","herb"
"lolium multiflorum","english: italian ryegrass","poaceae","grass"
"lophostemon confertus","english: brush box brisbane box vinegar tree","myrtaceae","tree"
"ludwigia hyssopifolia","&nbsp;","onagraceae","herb"
"ludwigia longifolia","english: longleaf primrose-willow","onagraceae","herb"
"ludwigia octovalvis","english: willow primrose false primrose yellow willow herb; other: ti&#275;mu     (cook islands); p&#299;t&#333;rea (cook islands (ngaputoru and mangaia) french     polynesia (leeward society islands); k&#257;mole alohalua k&#257;mole lau li�i     k&#257;mole lau nui (hawai�i); laavai mautofu vao fua samasama (samoa)","onagraceae","herb"
"ludwigia peruviana","english: ludwigia peruvian primrose water primrose","onagraceae","herb"
"lycopersicon pimpinellifolium","english: currant tomato","solanaceae","herb"
"lygodium palmatum","english: hartford fern american climbing fern creeping fern windsor fern","schizaeaceae","fern"
"maesopsis eminii","english: umbrella tree musizi","rhamnaceae","tree"
"malachra alceifolia","english: malachra","malvaceae","herb"
"malva parviflora","english: cheeseweed egyptian mallow little mallow small-flower mallow","malvaceae","herb"
"malvastrum americanum","english: indian valley false mallow","malvaceae","herb"
"marrubium vulgare","english: common horehound horehound white horehound","lamiaceae","herb"
"martynia annua","english: devil's claw iceplant small-fruit devil's claw tiger's-claw","martyniaceae","herb"
"medicago lupulina","english: black medic hop-clover nonesuch yellow trefoil","fabaceae","herb"
"medicago polymorpha","english: burr medic california bur-clover hairy medic toothed bur-clover     toothed medic","fabaceae","herb"
"medinilla cummingii","english: medinilla","melastomataceae","shrub"
"medinilla magnifica","english: chandelier tree showy melastome showy medinilla malaysian orchid","melastomataceae","shrub"
"medinilla venosa","english: holdtight","melastomataceae","shrub"
"melaleuca quinquenervia","english: melaleuca cajeput paper bark tree punk tree","myrtaceae","tree"
"melastoma candidum","english: asian melastome indian rhododendron malabar melastome","melastomataceae","tree"
"melastoma sanguineum","english: fox-tongued melastoma red melastome","melastomataceae","shrub/tree"
"melicoccus bijugatus","english: spanish lime","sapindaceae","tree"
"melinis repens","english: natal redtop natal grass red natal grass holme's grass     blanketgrass; other: salapona (tonga)","poaceae","grass"
"melochia corchorifolia","&nbsp;","sterculiaceae","herb"
"melochia umbellata","&nbsp;","sterculiaceae","shrub"
"memecylon floribundum","","melastomataceae","shrub"
"merremia bracteata","other: ambui (solomon islands)","convolvulaceae","vine"
"merremia hirta","&nbsp;","convolvulaceae","vine"
"merremia pacifica","&nbsp;","convolvulaceae","vine"
"merremia umbellata","english: yellow wood rose","convolvulaceae","vine"
"miconia calvescens","english: miconia velvetleaf purple plague bush currant","melastomataceae","tree"
"microlaena stipoides","english: meadow ricegrass weeping grass","poaceae","grass"
"mikania scandens","english: climbing hempweed climbing hempvine","asteraceae","vine"
"mimosa pigra","english: catclaw mimosa thorny sensitiveplant giant mimosa giant     sensitive plant black mimosa zaraz dormilona bashful plant amourette     violet","fabaceae","shrub"
"mitracarpus hirtus","english: tropical girdlepod","rubiaceae","herb"
"montanoa hibiscifolia","english: montanoa tree daisy anzac flower","asteraceae","shrub"
"morella cerifera","english: bayberry candleberry southern bayberry southern wax-myrtle     wax-myrtle waxberry","myricaceae","tree"
"morella faya","english: fayatree firetree firebush","myricaceae","tree"
"mucuna pruriens","english: cow itch velvet bean bengal bean mauritius bean","fabaceae","vine"
"muntingia calabura","english: jam tree strawberry tree jamaican cherry singapore cherry     panama cherry panama berry ornamental cherry calabura sirsen; other:     venevene (cook islands (penrhyn)); capulin (french polynesia)","tiliaceae","tree"
"neyraudia reynaudiana","english: burma reed cane grass silk reed","poaceae","grass"
"noronhia emarginata","english: madagascar olive","oleaceae","tree"
"ochna kirkii","english: micky mouse plant bird�s-eye bush","ochnaceae","shrub"
"ochna serrulata","english: ochna mickey-mouse plant bird�s-eye bush","ochnaceae","shrub"
"ochroma pyramidale","english: balsa corkwood down tree","bombacaceae","tree"
"ocimum gratissimum","english: wild basil clove basil tree basil; other: miri t&#299;t&#257; miri t&#363;tae     puaka miri nganga�ere miri t&#363;p&#257;paku (cook islands); miri papa�&#257; miri     taratoni (cook islands french polynesia); la�au sauga (samoa)","lamiaceae","herb"
"oldenlandia pumila","&nbsp;","rubiaceae","herb"
"olea europaea","english: olive; other: �oliwa �oliwa haole (hawai'i)","oleaceae","tree"
"olyra latifolia","&nbsp;","poaceae","grass"
"oplismenus burmannii","&nbsp;","poaceae","grass"
"opuntia dillenii","english: dildo eltham indian fig sweet prickly-pear","cactaceae","cactus"
"opuntia ficus-indica","english: barbary-fig indian-fig mission cactus prickly-pear; other:     p&#257;nini p&#257;pipi (hawai�i)","cactaceae","cactus"
"opuntia monacantha","english: drooping tree pear prickly pear; other: lauaufai va (samoa)","cactaceae","cactus"
"opuntia stricta","english: erect prickly-pear southern spineless cactus","cactaceae","cactus"
"ossaea marginata","&nbsp;","melastomataceae","shrub"
"oxalis barrelieri","other: a'aa'a'ii vine (samoa)","oxalidaceae","herb"
"oxalis debilis","english: pink wood-sorrel lilac oxalis; other: �ihi pehu (hawai�i) �ii     (samoa)","oxalidaceae","herb"
"oxyspora paniculata","english: oxyspora bristletips","melastomataceae","shrub"
"paederia foetida","english: stink vine skunk vine; other: maile pilau maile ka kahiki     (hawai'i).","rubiaceae","vine"
"panicum decompositum","english: australian millet umbrella grass","poaceae","grass"
"panicum polygonatum","&nbsp;","poaceae","grass"
"panicum repens","english: torpedo grass couch panicum creeping panic; other: wainaku grass     (hawai'i)","poaceae","grass"
"paraserianthes lophantha","english: brush wattle plume albizia plume acacia stink bean","fabaceae","shrub/tree"
"parkinsonia aculeata","english: parkinsonia jerusalem thorn horse-bean retama","fabaceae","tree"
"parthenium hysterophorus","english: bitterweed carrot grass false ragweed feverfew parthenium weed     whitetop santa maria","asteraceae","herb"
"paspalum fimbriatum","english: fimbriate paspalum winged paspalum panama paspalum panama     crowngrass columbia grass","poaceae","grass"
"paspalum notatum","english: bahia grass","poaceae","grass"
"paspalum setaceum","&nbsp;","poaceae","grass"
"paspalum urvillei","english: vasey grass; other: tinikar&#257;ti (cook islands (mangaia))","poaceae","grass"
"passiflora alata","english: wild passion fruit wingstem passionflower","passifloraceae","vine"
"passiflora caerulea","english: blue passion flower","passifloraceae","vine"
"passiflora coccinea","english: scarlet passion flower red passion flower red granadilla","passifloraceae","vine"
"passiflora incarnata","english: purple passion-flower red-flowered poka apricot-vine maypop     maypop passionflower","passifloraceae","vine"
"passiflora ligularis","english: sweet granadilla yellow passionfruit; other: lemi wai lani wai     lemona (hawai�i)","passifloraceae","vine"
"passiflora pulchella","english: two-lobed passion flower wingleaf passionfruit","passifloraceae","vine"
"passiflora rubra","english: red passionfruit dutchman's laudanum; other: p&#333;kutekute (cook     islands (�atiu))","passifloraceae","vine"
"passiflora suberosa","english: wild passionfruit devil's pumpkin indigo berry corky     passionflower corkstem passionflower; other: huehue haole (hawai'i)","passifloraceae","vine"
"passiflora subpeltata","english: white passionflower","passifloraceae","vine"
"passiflora tarminiana","english: banana poka banana passionfruit bananadilla","passifloraceae","vine"
"paulownia tomentosa","english: paulownia princess-tree chinese empress tree karri-tree","scrophulariaceae","tree"
"pennisetum clandestinum","english: kikuyu grass kikuyo","poaceae","grass"
"pennisetum glaucum","english: bajra bulrush millet burr bristle grass cat�s tail grass     cattail millet mongoose tail grass (fiji) pearl millet yellow bristle     grass yellow foxtail","poaceae","grass"
"pennisetum macrourum","english: african feathergrass bedding grass","poaceae","grass"
"pennisetum polystachion","english: mission grass feathery pennisetum","poaceae","grass"
"pennisetum setaceum","english: fountain grass","poaceae","grass"
"pereskia aculeata","english: barbados gooseberry leafy cactus lemon vine pereskia creeper","cactaceae","shrub"
"{persicaria capitat|a}","&nbsp;","polygalaceae","herb"
"persicaria glabra","other: k&#257;mole (hawai�i)","polygonaceae","herb"
"phaseolus lunatus","english: lima bean butter bean burma bean haricot bean madagascar bean     sieva bean sugar bean; other: piini �ae puaka (tonga)","fabaceae","herb"
"philadelphus karwinskyanus","english: philadelphus evergreen mock orange syringa","saxifragaceae","shrub"
"phormium tenax","english: new zealand flax new zealand hemp bush flax","agavaceae","herb"
"phyla nodiflora","english: fogfruit lippia phyla","verbenaceae","herb"
"phyllanthus debilis","&nbsp;","euphorbiaceae","herb"
"phyllanthus tenellus","english: long-stalk phyllanthus mascarene island leaf-flower","euphorbiaceae","herb"
"phyllanthus urinaria","&nbsp;","euphorbiaceae","herb"
"phyllostachys bissetii","&nbsp;","poaceae","shrub"
"phyllostachys nigra","english: black bamboo","poaceae","shrub"
"phytolacca octandra","engish: pokeweed southern pokeberry ink weed (australia)","phytolaccaceae","shrub"
"pimenta dioica","english: pimento allspice; other: sipaisi (tonga)","myrtaceae","tree"
"pimenta racemosa","english: bay rum tree bay oil tree malagueta; other: sinamoni (tonga)","myrtaceae","tree"
"pinus elliottii","english: slash pine","pinaceae","tree"
"piper aduncum","english: spiked pepper","piperaceae","shrub/tree"
"piper auritum","english: eared pepper anise piper veracruz pepper; other: �ava tonga     (samoa) kava hawai�i (tonga)","piperaceae","shrub"
"{piriqueta|racemosa}","&nbsp;","turneraceae","herb"
"pithecellobium dulce","english: madras thorn manila tamarind sweet inga; other: 'opiuma (hawai'i)","fabaceae","tree"
"pittosporum pentandrum","english: pittosporum taiwanese cheesewood mamalis","pittosporaceae","shrub/tree"
"pittosporum tobira","english: tobira japanese pittosporum japanese cheesewood mock orange     australian laurel","pittosporaceae","shrub/tree"
"pittosporum undulatum","english: victorian box victorian laurel australian cheesewood mock     orange sweet pittosporum orange pittosporum","pittosporaceae","tree"
"pittosporum viridiflorum","english: cape pittosporum","pittosporaceae","tree"
"plantago debilis","&nbsp;","plantaginaceae","herb"
"platycerium bifurcatum","english: elkhorn fern staghorn fern","selaginellaceae","fern"
"pluchea carolinensis","english: sour bush","asteraceae","shrub"
"pluchea indica","english: indian fleabane indian pluchea indian camphorweed","asteraceae","shrub"
"polygonum dichotomum","&nbsp;","polygonaceae","herb"
"polygonum minus","english: smartweed","polygonaceae","herb"
"praxelis clematidea","english: praxelis","asteraceae","herb"
"prosopis spp.","english: mesquite algaroba","fabaceae","tree"
"psidium cattleianum","english: strawberry guava cherry guava cattley guava chinese guava;     other: t&#363;ava papa�&#257; (cook islands); tuava tinito tuvava tinito (french     polynesia); waiawi �ula�ula (hawai'i); ku�ava (samoa)","myrtaceae","tree"
"psidium guineense","english: brazilian guava guinea guava","myrtaceae","shrub/tree"
"ptychosperma macarthurii","english: cluster palm hurricane palm macarthur feather palm macarthur     palm","arecaceae","tree     (palm)"
"pyrostegia venusta","english: flame vine flame flower golden shower orange trumpet vine","bignoniaceae","vine"
"rhodomyrtus tomentosa","english: rose myrtle downy myrtle isenberg bush","myrtaceae","shrub"
"rhynchospora caduca","","cyperaceae","herb"
"rivina humilis","english: baby pepper bloodberry coral berry rouge plant; other: polo     (tonga)","phytolaccaceae","herb"
"rosa laevigata","english: cherokee rose","rosaceae","shrub"
"rottboellia cochinchinensis","english: guinea-fowl grass itchgrass kelly grass kokoma grass raoul     grass","poaceae","grass"
"rubus adenotrichos","&nbsp;","rosaceae","shrub"
"rubus alceifolius","english: giant bramble","rosaceae","shrub"
"rubus argutus","english: prickly florida blackberry; other: &#333;helo �ele �ele (hawai�i)","rosaceae","shrub"
"rubus glaucus","english: andean blackberry andean black raspberry","rosaceae","shrub"
"rubus megalococcus","&nbsp;","rosaceae","shrub"
"rubus moluccanus","english: molucca raspberry broad leafed bramble molucca bramble eelkek","rosaceae","shrub"
"rubus niveus","english: ceylon raspberry hill raspberry mysore raspberry","rosaceae","shrub"
"rubus rosifolius","english: roseleaf raspberry thimbleberry mauritius raspberry; other: &#333;la�a     &#257;kala &#257;kalakala (hawai�i)","rosaceae","shrub"
"rubus sieboldii","english: molucca raspberry","rosaceae","shrub"
"rubus spp.","english: raspberries blackberries brambles","rosaceae","shrub"
"rubus ulmifolius","english: elm-leaf blackberry","rosaceae","shrub"
"ruellia brevifolia","","acanthaceae","herb"
"ruellia tuberosa","english: large bell-flower (samoa); other: vaouliuli lautele (samoa)","acanthaceae","herb"
"rumex brownii","english: brown dock hooked dock slender dock swamp dock","polygonaceae","herb"
"rumex crispus","english: curled dock curly dock sour dock yellow dock","polygonaceae","herb"
"rumex pulcher","english: fiddle dock","polygonaceae","herb"
"saccharum spontaneum","english: wild cane false sugarcane; other: to aheo (french polynesia); vao     tolo (samoa)","poaceae","grass"
"sacciolepis indica","english: glenwood grass","poaceae","grass"
"sacciolepis interrupta","&nbsp;","poaceae","grass"
"{sanchezia|speciosa}","english: sanchezia.","acanthaceae","shrub"
"schefflera actinophylla","english: octopus tree umbrella tree ivy palm","araliaceae","tree"
"schefflera arboricola","english: dwarf brassia dwarf schefflera hawaiian elf schefflera","araliaceae","shrub"
"schinus molle","english: pepper tree california pepper tree peruvian peppertree pepperina","anacardiaceae","tree"
"schinus terebinthifolius","english: christmas-berry brazilian pepper brazilian holly; other:     wilelaiki (hawai�i) naniohilo (hawai�i (moloka�i))","anacardiaceae","tree"
"schizachyrium condensatum","english: little bluestem bush beardgrass","poaceae","grass"
"scoparia dulcis","english: scoparia sweet broom","scrophulariaceae","herb"
"senecio madagascariensis","english: fireweed","asteraceae","herb"
"senecio quadridentatus","english: cotton fireweed","asteraceae","herb"
"senna bicapsularis","english: christmasbush moneybush rambling cassia","fabaceae","shrub"
"senna hirsuta","english: stinking cassia (fiji)","fabaceae","shrub"
"senna multiglandulosa","&nbsp;","fabaceae","shrub"
"senna obtusifolia","english: habucha coffeeweed sicklepod","fabaceae","herb"
"senna septemtrionalis","english: buttercup bush yellow shower laburnum; other: kolomona kalamona     (hawai'i)","fabaceae","shrub/tree"
"senna sophera","other: matui (tonga)","fabaceae","herb"
"sesbania cannabina","english: canicha dhaincha dhunchi sesbania pea","fabaceae","shrub"
"sesbania grandiflora","english: sesbania hummingbird tree sesban scarlet wisteria tree corkwood     tree; other: oufai ofai ouai (french polynesia); ohai ke�oke�o (hawai�i);     sepania (samoa)","fabaceae","small tree"
"sesbania punicea","english: red sesbania coffee weed rattle-pod sesban red seine bean     brazil rattlebox coffee of the coast tame acacia false poinciana black     acacia purple sesbane","fabaceae","shrub"
"setaria barbata","english: bristly foxtail grass","poaceae","grass"
"setaria italica","english: foxtail millet german millet hungarian millet italian millet","poaceae","grass"
"setaria palmifolia","english: palmgrass short pitpit hailans pitpit broadleaved bristlegrass;     other: vao �ofe�ofe (samoa)","poaceae","grass"
"setaria parviflora","english: knotroot bristle grass knotroot foxtail perennial foxtail     slender pigeon grass yellow foxtail; other: mau�u kaleponi (hawai�i)","poaceae","grass"
"setaria pumila","english: foxtail garden bristle grass hairy-tail grass yellow     bristlegrass queensland pigeon grass (australia) cat's tail grass (fiji)","poaceae","grass"
"sida cordifolia","english: flannelweed heart-leaf sida","malvaceae","shrub"
"sida glomerata","other: mautofu (samoa)","malvaceae","shrub"
"sida linifolia","&nbsp;","malvaceae","herb"
"sida paniculata","&nbsp;","malvaceae","shrub"
"sida spinosa","english: prickly sida spiny sida","malvaceae","herb"
"sida urens","&nbsp;","malvaceae","shrub"
"sidastrum paniculatum","&nbsp;","malvaceae","shrub"
"sigesbeckia orientalis","english: indian weed small yellow crown-beard yellow crown-head; other:     kamika (cook islands (mangaia)) �a�ami�a (samoa) kakamika (tonga wallis     and futuna)","asteraceae","herb"
"sisymbrium erysimoides","english: smooth mustard","brassicaceae","herb"
"sisyrinchium micranthum","english: scourweed","iridaceae","herb"
"solandra maxima","english: golden cup cup of gold chalice vine","solanaceae","vine"
"solanum capsicoides","english: cockroach berry devil�s apple soda apple; other: poro�iti     taratara (cook islands); kikania kei akaaka akaka (hawai'i)","solanaceae","herb"
"solanum mammosum","english: nipple fruit","solanaceae","shrub"
"solanum mauritianum","english: bugweed wild tobacco tree tobacco; other: rau �ava�ava (cook     islands); pua nana honua (hawai'i); pula (tonga)","solanaceae","shrub"
"solanum nigrum","english: black-berry night shade (australia) black nightshade poisonberry;     other: polokai (tonga); magalo polo (samoa)","solanaceae","herb"
"solanum seaforthianum","english: potato creeper brazilian nightshade","solanaceae","vine"
"solanum viarum","english: tropical soda apple","solanaceae","herb"
"soliva anthemifolia","english: dwarf jojo","asteraceae","herb"
"sonchus arvensis","english: corn sow thistle field sow thistle perennial sow thistle","asteraceae","herb"
"sorghum halepense","english: johnson grass aleppo grass aleppo milletgrass; other: kola     (tonga)","poaceae","grass"
"spermacoce confusa","english: river false buttonweed","rubiaceae","herb"
"spermacoce ernstii","&nbsp;","rubiaceae","herb"
"spermacoce latifolia","&nbsp;","rubiaceae","herb"
"spermacoce mauritiana","&nbsp;","rubiaceae","herb"
"spermacoce ocymoides","english: purple-leaved button weed","rubiaceae","herb"
"spermacoce prostrata","english: false buttonweed prostrate false buttonweed","rubiaceae","herb"
"sphenoclea zeylanica","&nbsp;","sphenocleaceae.","herb"
"sporobolus elongatus","english: wiregrass rat-tail dropseed","poaceae","grass"
"sporobolus pyramidalis","&nbsp;","poaceae","grass"
"stachys arvensis","english: staggerweed","lamiaceae","herb"
"stapelia gigantea","english: carrion flower starfish flower zulu-giant giant toad plant","asclepiadaceae","succulent"
"stellaria media","english: chickweed common chickweed stickwort","caryophyllaceae","herb"
"stenotaphrum secundatum","english: buffalo grass st. augustine grass; other: �aki�aki haole m&#257;nienie     �aki�aki m&#257;nienie �aki�aki haole m&#257;nienie m&#257;hikihiki (hawai�i)","poaceae","grass"
"stictocardia tiliifolia","english: stictocardia crimson morning-glory; other: pilikai (hawai�i);     tagamimi palulu (samoa)","convolvulaceae","vine"
"struchium sparganophorum","&nbsp;","asteraceae","herb"
"syncarpia glomulifera","english: turpentine tree lustre wood","myrtaceae","tree"
"tabebuia heterophylla","english: pink tecoma pink trumpet tree white cedar","bignoniaceae","tree"
"tamarix aphylla","english: athel tamarisk athel pine salt-cedar","tamaricaceae","shrub"
"tamarix gallica","english: saltcedar","tamaricaceae","tree"
"tephrosia noctiflora","&nbsp;","fabaceae","herb"
"terminalia myriocarpa","english: hollock jhalna","combretaceae","tree"
"tetrazygia bicolor","english: florida clover ash","melastomataceae","shrub/tree"
"teucrium vesicarium","&nbsp;","lamiaceae","herb"
"themeda gigantea","english: ulla","poaceae","grass"
"themeda quadrivalvis","english: grader grass habana grass kangaroo grass","poaceae","grass"
"thunbergia alata","english: black-eyed susan vine","acanthaceae","vine"
"thunbergia grandiflora","english: bengal trumpet blue trumpet vine clock vine skyvine large-flowerd     thunbergia; other: palulu (samoa)","acanthaceae","vine"
"thunbergia laurifolia","english: purple allamanda laurel-leaved thunbergia laurel clock vine","acanthaceae","vine"
"tibouchina herbacea","english: glorybush cane ti tibouchina","melastomataceae","shrub"
"tibouchina urvilleana","english: glorybush lasiandra princess flower","melastomataceae","shrub"
"timonius timon","english: liberal (palau)","rubiaceae","tree"
"tradescantia fluminensis","english: small-leaf spiderwort spiderwort wandering jew","commelinaceae","herb"
"trema micranthum","english: capulin nettle tree","ulmaceae","tree"
"trema orientalis","{english: charcoal tree gunpowder tree; other: aere (french polynesia)     mangele||magele||(samoa tonga)}","ulmaceae","tree"
"triadica sebifera","english: chinese tallow tree popcorn tree vegetable tallow white wax     berry chicken tree florida aspen","euphorbiaceae","tree"
"tribulus cistoides","english: puncture vine caltrop burrnut jamaican feverplant goat�s head;     other: nohu nohunohu (hawai�i)","zygophyllaceae","herb"
"tribulus terrestris","english: puncture vine goat head","zygophyllaceae","herb"
"trichodesma zeylanicum","english: camel bush","boraginaceae","herb"
"tridax procumbens","english: coat buttons tridax daisy","asteraceae","herb"
"triphasia trifolia","english: limeberry lemon china","rutaceae","shrub"
"triplaris weigeltiana","english: long john long jack","polygonaceae","tree"
"tripsacum latifolium","english: wideleaf gamagrass","poaceae","grass"
"triumfetta semitriloba","english: sacramento bur","tiliaceae","shrub"
"turbina corymbosa","english: turbina christmas vine ololiuqui","convolvulaceae","vine"
"turnera subulata","english: white alder","turneraceae","shrub"
"turnera ulmifolia","english: yellow alder sage rose","turneraceae","shrub"
"ulex europaeus","english: gorse furze whin","fabaceae","shrub"
"urochloa brizantha","english: bread grass palisade grass palisade signalgrass signal grass     surinam grass","poaceae","grass"
"urochloa decumbens","english: basilisk signal grass signal grass surinam grass","poaceae","grass"
"urochloa [=brachiaria] humidicola","english: creeping signal grass koronivia grass","poaceae","grass"
"urochloa [=brachiaria] reptans","english: creeping panic grass running grass","poaceae","grass"
"verbena litoralis","other: &#333;w&#299; o&#299; (hawai�i); ha�u&#333;w&#299; ha�u&#333;w&#299; (hawai�i-ni�ihau)","verbenaceae","herb"
"verbena rigida","english: veined verbena","verbenaceae","herb"
"vicia sativa ssp. nigra","english: black-pod vetch common vetch narrow-leaf vetch spring vetch","fabaceae","herb"
"vigna radiata","english: green gram golden gram mung mung bean","fabaceae","herb"
"vitex parviflora","english: small-leaved vitex smallflower chastetree; other: molave (hawai'i)","verbenaceae","shrub/tree"
"washingtonia filifera","english: california fan palm california washingtonia cotton palm desert     fan palm washington palm","arecaceae","tree     (palm)"
"washingtonia robusta","english: mexican fan palm mexican washington palm mexican washingtonia     thread palm","arecaceae","tree     (palm)"
"waterhousea floribunda","english: weeping lilly pilly weeping myrtle","myrtaceae","tree"
"wikstroemia indica","english: tiebush","thymelacaceae","shrub"
"xanthium strumarium","english: australian burr (cook islands) california-bur cocklebur noogoora     burr; other: kikania (hawai�i)","asteraceae","herb"
"yucca aloifolia","english: daggerplant spanish-bayonet","agavaceae","shrub"
"zantedeschia aethiopica","english: calla lily arum lily","araceae","herb"
"zinnia peruviana","&nbsp;","asteraceae","herb"
"ziziphus jujuba","english: chinese jujube chinese date chinese plum common jujube","rhamnaceae","tree"
"ziziphus mauritiana","english: indian jujube chinese date chinee apple","rhamnaceae","tree"
