"title(s)[10][11][12][13]","year first released[10][11][14][15]","developer[14][16]","publisher[10][11][14][17][18]","regions released[10][11][12][13][19]","number of players[10][12][13][20]","esrb/elspa rating[10][17][21]","genre[10][11][15][18][22][23]"
"polaris snocross","2000","vicarious visions","vatical entertainment","na","{4 !|1–4}","e/—","simulation/snowmobile racing"
"power league 64","1997","hudson soft","hudson soft","jp","{4 !|1–4}","—","sports/baseball"
"power rangers lightspeed rescue","2000","mass media","thq","na pal","{4 !|1–4}","e/3+","action/adventure/fighting"
"{powerp|the powerpuff girls: chemical x-traction}","2001","vis interactive","bam! entertainment","na","1","e/—","arcade/fighting"
"premier manager 64","1999","gremlin interactive","gremlin interactive","pal","1","—/3+","sports/soccer"
"pro mahjong kiwame 64","1997","athena","athena","jp","1","—","gambling/mahjong"
"pro shinan mahjong tsuwamono 64: jansō battle ni chōsen","1999","culture brain","culture brain","jp","1","—","gambling/mahjong"
"puyo puyo sun 64","1997","compile","compile","jp","{4 !|1–4}","—","arcade/action/puzzle"
"puyo puyo~n party","1999","compile","compile","jp","{4 !|1–4}","—","arcade/action/puzzle"
"quake 64","1998","midway","midway","na pal","{2 !|1–2}","m/15+","action/3d shooter"
"quake ii","1999","raster productions","activision","na pal","{4 !|1–4}","m/15+","action/3d shooter"
"quest 64•holy magic centurypal•eltale monstersjp","1999","imagineer","imagineerthqkonami","jp na pal","1","e/3+","adventure/role playing"
"rainbow six","1999","saffire","red storm entertainment","na pal","1","t/15+","action/3d shooter"
"rakugakids","1998","konami","konami","jp pal","{2 !|1–2}","—/3+","arcade/2d fighting"
"rally challenge 2000•rally '99jp","1999","genki","imagineersouthpeak interactive","jp na","{4 !|1–4}","e/—","racing/off road"
"rampage 2: universal tour","1999","avalanche software","midway","na pal","{3 !|1–3}","t/3+","arcade/action/side scrolling"
"rampage world tour","1998","saffire","midway","na pal","{3 !|1–3}","t/3+","arcade/action/side scrolling"
"rat attack!","2000","pure entertainment","mindscape","na pal","{4 !|1–4}","e/3+","arcade/action/puzzle"
"rayman 2: the great escape","1999","ubisoft","ubisoft","na pal","1","e/3+","adventure/3d platformer"
"razor freestyle scooter","2001","titanium studios","crave entertainment","na","{4 !|1–4}","e/—","sports/stunts/scooter"
"re-volt","1999","acclaim","acclaim","na pal","{4 !|1–4}","e/3+","remote control racing"
"ready 2 rumble boxing","1999","point of view","midway","na pal","{4 !|1–4}","t/11+","sports/boxing"
"ready 2 rumble boxing: round 2","2000","point of view","midway","na","{4 !|1–4}","t/—","sports/boxing"
"resident evil 2•biohazard 2jp","1999","angel studios","capcom","jp na pal","1","m/15+","action/adventure/3d shooter"
"ridge racer 64","2000","namco","nintendo","na pal","{4 !|1–4}","e/3+","racing/automotive"
"road rash 64","1999","pacific coast power &amp; light","thq","na pal","{2 !|1–2}","t/11+","racing/battle"
"roadsters","1999","titus software","titus software","na pal","{4 !|1–4}","e/3+","automotive racing"
"robot ponkottsu 64: nanatsu no umi no caramel","1999","red company","hudson soft","jp","{4 !|1–4}","—","strategy/role playing"
"robotron 64","1998","player 1","crave entertainment","na pal","1","t/11+","arcade/action/ 3d shooter"
"rocket: robot on wheels","1999","sucker punch","ubisoft","na pal","1","e/3+","adventure/3d platformer"
"rugrats in paris: the movie","2000","avalanche software","thq","na pal","{4 !|1–4}","e/3+","adventure/3d platformer"
"rugrats: scavenger hunt•rugrats: treasure huntpal","1999","realtime associates","thq","na pal","{4 !|1–4}","e/3+","board game"
"rush 2: extreme racing usa","1998","atari games","midway","na pal","{2 !|1–2}","e/3+","racing/automotive"
"s.c.a.r.s.","1999","vivid image","ubisoft","na pal","{4 !|1–4}","e/3+","racing/battle"
"saikyō habu shōgi","1996","seta","seta","jp","1","—","board game/strategy"
"san francisco rush","1997","atari games","midway","na pal","{2 !|1–2}","k-a/3+","racing/automotive"
"san francisco rush 2049","2000","atari games","midway","na pal","{4 !|1–4}","e/3+","automotive racing"
"scooby doo! classic creep capers","2000","terra glyph interactive studios","thq","na pal","1","e/3+","adventure"
"sd hiryu no ken densetsu","1999","culture brain","culture brain","jp","{4 !|1–4}","—","arcade/fighting"
"shadow man","1999","acclaim","acclaim","na pal","1","m/15+","action/adventure/3d shooter"
"shadowgate 64: trials of the four towers","1999","infinite ventures","kemco","jp na pal","1","e/3+","role playing/puzzle"
"simcity 2000","1998","genki","imagineer","jp","1","—","simulation/city/horse racing"
"sin and punishment: hoshi no keishōsha","2000","treasure","nintendo","jp","{4 !|1–4}","—","action/3d rail shooter"
"snowboard kids","1997","racdym","atlus","jp na pal","{4 !|1–4}","k-a/3+","sports/snowboarding"
"snowboard kids 2•chō snowboard kidsjp","1999","racdym","atlus","jp na pal","{4 !|1–4}","e/—","sports/snowboarding"
"south park","1998","iguana entertainment","acclaim","na pal","{4 !|1–4}","m/15+","adventure/3d shooter"
"south park rally","2000","tantalus interactive","acclaim","na pal","{4 !|1–4}","m/15+","racing/battle"
"south park: chef's luv shack","1999","iguana entertainment","acclaim","na pal","{4 !|1–4}","m/15+","game show"
"space invaders","1999","z-axis","activision","na","1","e/—","arcade/action/2d shooter"
"space station silicon valley","1998","dma design","take-two interactive","na pal","1","e/3+","adventure/puzzle/3d platformer"
"spider-man","2000","edge of reality","activision","na","1","e/—","adventure/action/3d platformer"
"star fox 64•lylat wars pal","1997","nintendo","nintendo","jp na pal","{4 !|1–4}","k-a/3+","action/flight/3d rail shooter"
"star soldier: vanishing earth","1998","hudson soft","hudson soft","jp na","1","e/—","action/2d shooter"
"star wars: episode i: battle for naboo","2000","factor 5","lucasarts","na pal","1","t/11+","action/3d shooter"
"star wars episode i: racer","1999","lucasarts","nintendo","jp na pal","{2 !|1–2}","e/3+","racing/hovercraft"
"star wars: rogue squadron•star wars: shutsugeki! rogue chutaijp","1998","factor 5","lucasarts","jp na pal","1","t/11+","action/3d shooting"
"star wars: shadows of the empire","1996","lucasarts","nintendo","jp na pal","1","t/15+","action/adventure/3d platformer"
"starcraft 64","2000","mass media","nintendo","na pal","1","t/—","simulation/war/strategy"
"starshot: space circus fever","1999","infogrames","infogrames","na pal","1","e/3+","action/adventure/3d platformer"
"stunt racer 64","2000","boss game studios","midway","na","{4 !|1–4}","e/—","racing/automobile/stunt"
"super b-daman: battle phoenix 64","1998","hudson soft","hudson soft","jp","{4 !|1–4}","—","fighting/mini games"
"super bowling","2000","athena","ufo interactive","jp na","{4 !|1–4}","e/—","sports/bowling"
"super mario 64","1996","nintendo","nintendo","jp na pal","1","k-a/3+","action/adventure/3d platformer"
"super robot spirits","1998","banpresto","banpresto","jp","1","—","arcade/fighting/robots"
"super robot wars 64","1999","banpresto","banpresto","jp","1","—","strategy/war/role playing"
"super smash bros.•dairantō smash brothersjp","1999","hal laboratory","nintendo","jp na pal","{4 !|1–4}","e/3+","arcade/2d fighting"
"supercross 2000","1999","mbl research","electronic arts","na pal","{4 !|1–4}","e/3+","racing/motorcycle"
"superman","1999","titus software","titus software","na pal","{4 !|1–4}","e/3+","action/adventure/3d platformer"
"susume! taisen puzzle dama: tōkon! marutama chō","1998","konami","konami","jp","{4 !|1–4}","—","arcade/action/puzzle"
"tamagotchi 64: minna de tamagotchi world","1997","bandai","bandai","jp","{4 !|1–4}","—","board game/growing/training"
"taz express","2000","zed two","infogrames","pal","1","—/3+","adventure/puzzle/3d platformer"
"tetris 64","1998","amtex","seta","jp","{4 !|1–4}","—","arcade/action/puzzle"
"tetrisphere","1997","h2o entertainment","nintendo","na pal","{4 !|1–4}","k-a/3+","arcade/action/puzzle"
"tigger's honey hunt","2000","doki denki studio","newkidco","na pal","{4 !|1–4}","e/3+","adventure/2d platformer"
"tom &amp; jerry in fists of furry","2000","vis interactive","newkidco","na pal","{4 !|1–4}","e/3+","arcade/3d fighting"
"tonic trouble","1999","ubisoft","ubisoft","na pal","1","e/3+","action/adventure/3d platformer"
"tony hawk's pro skater•tony hawk's skateboardingpal","2000","edge of reality","activision","na pal","{2 !|1–2}","e/11+","sports/skateboarding"
"tony hawk's pro skater 2","2001","edge of reality","activision","na pal","{4 !|1–4}","e/11+","sports/skateboarding"
"tony hawk's pro skater 3","2002","edge of reality","activision","na","{2 !|1–2}","e/—","sports/skateboarding"
"top gear hyper bike","2000","snowblind studios","kemco","jp na pal","{4 !|1–4}","e/3+","racing/motorcycle"
"top gear overdrive","1998","snowblind studios","kemco","jp na pal","{4 !|1–4}","e/3+","racing/automobile"
"top gear rally","1997","boss game studios","midway","jp na pal","{4 !|1–4}","k-a/3+","racing/automobile/rally"
"top gear rally 2","1999","saffire","kemco","jp na pal","{4 !|1–4}","e/3+","racing/automobile/rally"
"toy story 2: buzz lightyear to the rescue","1999","traveller's tales","activision","na pal","1","e/3+","action/adventure/3d platformer"
"transformers: beast wars transmetals•transformers: beast wars metals 64jp","2000","pacific coast power &amp; light","bam! entertainmenttakara","jp na","{4 !|1–4}","t/—","arcade/action/3d fighting"
"triple play 2000","1999","treyarch","electronic arts","na","{4 !|1–4}","e/—","sports/baseball"
"turok: dinosaur hunter•turok: jiku senshijp","1997","iguana entertainment","acclaim entertainment","jp na pal","1","m/15+","action/adventure/3d shooter"
"turok 2: seeds of evil•violence killer: turok new generationjp","1998","iguana entertainment","acclaim entertainment","jp na pal","{4 !|1–4}","m/15+","action/adventure/3d shooter"
"turok 3: shadow of oblivion","2000","iguana entertainment","acclaim entertainment","na pal","{4 !|1–4}","m/15+","action/adventure/3d shooter"
"turok: rage wars","1999","iguana entertainment","acclaim entertainment","na pal","{4 !|1–4}","m/15+","action/adventure/3d shooter"
"twisted edge extreme snowboarding•king hill 64: extreme snowboardingjp","1998","boss game studios","midway","jp na pal","{4 !|1–4}","e/3+","sports/snowboarding"
"ucchan nanchan no honō no challenge: denryū ira ira bō","1997","yuke's","hudson soft","jp","{4 !|1–4}","—","game show/skill"
"v-rally edition '99","1999","eden games","infogrames","jp na pal","{4 !|1–4}","e/3+","racing/automobile"
"vigilante 8","1999","luxoflux","activision","na pal","{4 !|1–4}","t/11+","racing/destruction durby"
"vigilante 8: 2nd offense","2000","luxoflux","activision","na pal","{4 !|1–4}","t/11+","racing/destruction durby"
"virtual chess 64","1998","titus software","titus software","na pal","{2 !|1–2}","e/3+","board game/strategy"
"virtual pool 64","1998","celeris","crave entertainment","na pal","{2 !|1–2}","e/3+","sports/billiards"
"virtual pro wrestling 2: ōdō keishō","2000","aki","asmik ace","jp","{4 !|1–4}","—","sports/wrestling"
"virtual pro wrestling 64","1997","aki","asmik ace","jp","{4 !|1–4}","—","sports/wrestling"
"waialae country club: true golf classics","1997","t&amp;e soft","nintendo","jp na pal","{4 !|1–4}","e/3+","sports/golf"
"war gods","1997","eurocom","midway","na pal","{2 !|1–2}","m/15+","arcade/action/3d fighting"
"wave race 64","1996","nintendo","nintendo","jp na pal","{4 !|1–4}","k-a/3+","sports/jet ski"
"wayne gretzky's 3d hockey","1996","williams entertainment","midway","jp na pal","{4 !|1–4}","k-a/3+","sports/ice hockey"
"wayne gretzky's 3d hockey '98","1997","software creations","midway","na pal","{4 !|1–4}","k-a/3+","sports/ice hockey"
"wcw backstage assault","2000","kodiak interactive","electronic arts","na","{4 !|1–4}","t/—","sports/wrestling"
"wcw mayhem","1999","kodiak interactive","electronic arts","na pal","{4 !|1–4}","t/11+","sports/wrestling"
"wcw nitro","1999","inland productions","thq","na","{4 !|1–4}","e/—","sports/wrestling"
"wcw vs. nwo: world tour","1997","aki","thq","na pal","{4 !|1–4}","k-a/11+","sports/wrestling"
"wcw/nwo revenge","1998","aki","thq","na pal","{4 !|1–4}","e/11+","sports/wrestling"
"wetrix","1998","zed two","ocean","jp na pal","{4 !|1–4}","e/3+","arcade/action/puzzle"
"wheel of fortune","1997","gametek","gametek","na","{3 !|1–3}","k-a/—","game show/knowledge"
"winback•operation: winbackpal","1999","omega force","koei","jp na pal","{4 !|1–4}","t/11+","action/adventure/3d shooter"
"wipeout 64","1998","psygnosis","midway","na pal","{4 !|1–4}","e/3+","racing/hovercraft"
"wonder project j2: koruro no mori no josette","1996","givro","enix","jp","1","—","strategy/role playing/2d click and move"
"world cup 98","1998","electronic arts","electronic arts","na pal","{4 !|1–4}","e/3+","sports/soccer"
"world driver championship","1999","boss game studios","midway","na pal","{4 !|1–4}","e/3+","racing/automobile"
"{world is|the world is not enough}","2000","eurocom","electronic arts","na pal","{4 !|1–4}","t/11+","action/adventure/3d shooter"
"worms armageddon","2000","infogrames","infogrames","na pal","{4 !|1–4}","e/11+","strategy/puzzle"
"wwf attitude","1999","iguana entertainment","acclaim","na pal","{4 !|1–4}","t/15+","sports/wrestling"
"wwf no mercy","2000","aki","thq","na pal","{4 !|1–4}","t/15+","sports/wrestling"
"wwf war zone","1998","iguana entertainment","acclaim","na pal","{4 !|1–4}","t/15+","sports/wrestling"
"wwf wrestlemania 2000","1999","aki","thq","jp na pal","{4 !|1–4}","t/15+","sports/wrestling"
"xena: warrior princess: the talisman of fate","1999","saffire","titus software","na pal","{4 !|1–4}","t/15+","arcade/action/3d fighting"
"yakōchū ii: satsujin kōro","1999","athena","athena","jp","1","—","strategy/role playing/mystery"
"yoshi's story","1997","nintendo","nintendo","jp na pal","1","e/3+","action/adventure/2d platformer"
"zool: majū tsukai densetsu","1999","pandora box","imagineer","jp","1","—","battle/strategy/training"
